x,y,query
49.6157,48.265003,关于“指挥重掷”计谋，它可以在哪些时机使用？
47.465603,-18.675007,在艾达灵族军队中，如果一名灵魂先知位于一个幽冥构造体单位的3寸内，该灵魂先知是否获得独行特工能力？
16.910334,69.4394,如果一个单位进行突进移动后，在同一回合中是否还能进行射击或宣布冲锋？
-18.433853,-55.935436,隐秘技能如何影响远程攻击的命中掷骰结果？
-3.466377,16.417194,当一个丑角剧团单位在近战阶段开始时，它可以选择获得哪些能力？
37.942867,-61.7735,一把D6+3的武器伤害分配给了凯恩化身，凯恩化身最终会受到多少伤害？
-13.932704,-109.42405,猎鹰坦克的火力支援技能在何时触发，并对从该运输载具脱离的模型提供何种增益？
-13.009095,-70.86298,猩红猎手的苍穹猎手技能对攻击飞行单位时，会提供哪些命中掷骰和造伤掷骰修正？
-34.649036,-58.62882,织夜者坦克的单丝捕网技能如何影响被命中的敌方单位，具体会降低哪些属性和结果？
-0.030011341,81.112915,如果一个单位中所有模型都拥有斥候技能，但距离数值不同（例如斥候6和斥候9），该单位最终能进行多长的斥候移动？
-21.953098,37.589478,在御风者军阵分队中，御风者单位何时获得战线关键词？
34.011105,-23.25246,灵魂密会分队中，灵魂先知模型被敌方单位消灭时，会发生什么效果？
27.546152,7.3490343,如果一个联合单位中包含多个领袖（例如一名大先知和一名战巫），当受到精准技能攻击时，攻击可以被分配给谁？
0.33740968,-106.92598,死神军毒灾飞艇的火力平台技能，能否使用搭乘模型装备的单发武器进行射击？
25.013475,54.432465,在唯有战争任务中，进攻方和防守方是如何决定的？
35.993927,21.464901,巴哈罗斯的踏云者技能允许其领导的单位在对手回合结束时移出战场，并放入战略预备队中，此能力有哪些限制条件？
-4.0002704,-39.586773,幽冥骑士的阔步巨兽技能允许它越过地形模型时，可能会受到何种惩罚？
1.8127935,30.547895,伊纳德信徒分队的致命报偿基础能力在近战阶段开始时，对哪些单位提供先攻能力？
34.048546,86.34779,在指挥阶段中，如果一个单位因任何原因低于起始兵力时被强制进行战斗震慑测试，它是否需要因为低于半数兵力再次进行测试？
16.581118,-95.69391,天行者大先知装备的双联星镖枪拥有哪些武器技能？
