query,intent
战巫密会和先知单位组成的联合单位，战巫议会的“保护（灵能）”技能如何生效？,rule
"当一队风暴守护者需要进行战斗震慑测试时,必须投出哪些数值以上的结果才能通过测试",Rule
"当一队单位用曲射武器去射击对方单位时, 哪些命中骰子的结果被视为命中",Rule
织星者飞艇的“快速上车”技能有什么效果？,query
机甲军中有哪些装甲步兵单位,List
艾达灵族有哪些凤凰领主,List
利刃战士的能量剑S值和光热斩斧的S值哪个更高？,Compare
一把热能剑的AP值为-2，攻击护甲等级为3+的单位时，哪些投掷结果能穿透护甲造成伤害,Rule
泰伦虫后使用的毒液爪S值和王爪的S值哪个更高？,Compare
审判骑士能使用哪些重型武器？,List
黑暗天使有哪些能够隐形的单位,List
灵魂先知的“灵魂印记”技能有什么效果？,query
泰伦虫群有哪些适合突袭的近战单位,List
突击蝎的“战蝎激光”技能效果是什么？,query
混沌骑士团有哪些能够飞行的骑乘单位,List
除了第一团长外，钢铁军团还有哪些人物可以使用战锤？,List
艾达灵族有哪些灵能者人物,List
一把爆破火箭的S值为8，攻击T值为8的装甲单位时，哪些造伤结果能摧毁装甲,Rule
破晓之刃和夜影之爪哪个武器的AP值更高？,Compare
艾达灵族有哪些巨兽单位,List
关于波蛇飞艇的“严重损伤”技能：当其耐伤值降低到多少时会触发什么效果？,rule
艾达灵族中每种载具的 M 值各是多少,List
血色收割者投掷飞斧的S值和掠夺者投掷长矛的S值哪个更高？,Compare
审判骑士的等离子加农炮和光束喷射器哪个S值更高？,Compare
混沌星际战士有哪些可以召唤混沌生物的单位,List
如果多条规则同时要求一名玩家舍弃一次掷骰的最低/最高掷骰结果，玩家如何结算这些规则？,rule
"当一个单位加速后,他还能使用手雷技能吗?",Rule
猩红猎手的“苍穹猎手”技能有什么特殊加成？,query
如果一个规则允许忽略对属性或掷骰的修正，这意味着可以忽略哪些类型的修正？,query
艾达灵族有哪些支派武士,List
飞行器单位可以在移动阶段保持静止吗?,Rule
“阶段外规则”中，当一个单位使用“警戒射击”计谋时，它能否触发自身在“己方射击阶段中，该单位进行射击后”触发的技能？,rule
关于“快速掷骰”：在什么情况下不能使用快速掷骰？,rule
在废墟地形中，模型之间的可见性如何判断，尤其是当模型位于废墟内部或外部时？,query
机械军团的震荡榴弹和塑能火箭哪个AP值更高？,Compare
艾达灵族中除了凤凰领主，还有哪些独立人物？,List
当一支机械战队进行士气检定时，需要投出哪些数值才能免除逃跑,Rule
当一队狙击手进行精准射击时，哪些掷骰结果被视为致命一击,Rule
关于凶暴复仇者的“剑刃风暴”技能：此技能的效果是什么？,query
如果一个单位在回合结束时失去单位连续性，会发生什么？,query
除了司战（Autarch），艾达灵族还有哪些人物模型可以装备死亡纺织者（Death Spinner）？,List
拉埃尔族有哪些灵能能力,List
艾达灵族有哪些骑乘单位,List
一支步兵连在指挥阶段损失了4个模型，是否需要进行战斗震慑测试,Rule
灵魂先知的“伊莎之泪（灵能）”技能有什么效果？,query
机械军团的所有重型武器有哪些？,List
拥有“独行特工”技能的单位（例如独角）在什么条件下可以被远程攻击选中？,rule
艾达灵族军队中有哪些武器拥有[洪流]（Torrent）技能？,List
当一队火焰喷射兵使用爆燃武器时，哪些命中结果被视为有效,Rule
幽冥领主的“宿命英雄”技能效果是什么？,query
混沌军团有哪些英雄模型,List
风暴战团中，暴风战士的M值和天启战士的M值相比，哪个更高？,Compare
在第三战斗轮次及之后，战略预备队单位可以在战场上部署在哪些位置？,query
暗影先知的“梦境迷雾（灵能）”技能有什么效果？,query
狂怒之拳和毁灭之锤哪个武器的S值更高？,Compare
混沌猪骑有哪些特殊战吼技能,List
如果一个单位没有“深入打击”技能但被放入战略预备队，它如何抵达战场？,rule
灵能学院中有哪些人物模型可以施放恢复法术,List
帝国坦克有哪些可以使用等离子炮,List
钢铁守护者能装备的近战武器中，哪种武器的AP值最高？,Compare
一个单位在什么时候可以搭乘友方运输工具？搭乘后有哪些限制？,query
纯净分支有多少种精英单位,List
猎鹰坦克完成射击后，其“火力支援”技能有什么效果？,query
暴风骑士团有多少专属近战武器,List
拥有“额外攻击”技能的武器，其攻击次数能否被其他规则修正？,query
"在暗夜魔女能装备的曲射武器里,那种武器射程最远",Compare
猩红猎手的“苍穹猎手”技能对飞行单位攻击时有什么特殊加成？,query
暗夜魔女的爆裂箭和火焰箭哪个射程更远？,Compare
雷霆坦克和毁灭坦克谁的T值更高？,Compare
覆灭飞龙和毁灭机甲谁的M值更高？,Compare
凯恩化身的“熔岩身躯”技能有什么效果？,query
"一台载具在玩家的增援阶段从战略预备队进入战场, 此时他需要摆放在对方单位的什么位置?",Rule
帝国飞行部队有哪些战机型号,List
帝国有哪些类型的防御工事,List
艾达灵族有哪些飞行步兵,List
翔空司战的“不屈意志”技能有什么效果？,query
泰伦虫群中有哪些能使用重型武器的单位,List
太空狼有哪些近战武器,List
"当一个单位进行撤退后,他还能执行任务动作吗?",Rule
当两个或更多规则需要同时进行结算时，如何决定结算顺序？,rule
