query,intent,sub_intents
关于幽冥之刃的“恶怨亡魂”技能：当幽冥之刃单位中的模型被近战攻击消灭时，其如何进行反击？,rule,query
关于凶暴复仇者的“剑刃风暴”技能：此技能的效果是什么？,query,
关于波蛇飞艇的“严重损伤”技能：当其耐伤值降低到多少时会触发什么效果？,rule,query
关于“快速掷骰”：在什么情况下不能使用快速掷骰？,rule,
战巫密会和先知单位组成的联合单位，战巫议会的“保护（灵能）”技能如何生效？,rule,
关于战略预备队：在第二战斗轮次中，战略预备队单位可以在战场上部署在哪些位置？,query,
拥有“独行特工”技能的单位（例如独角）在什么条件下可以被远程攻击选中？,rule,
凯恩化身的“熔岩身躯”技能有什么效果？,query,
关于致命伤：如果一次致命伤是由带有[毁灭伤害]技能的攻击的暴击致伤造成的，并且被分配的模型因此被摧毁，那么剩余的致命伤会怎样？,rule,
狂嚎女妖的“身手矫健”技能有什么效果？,query,
在指挥阶段结束时，一个单位是否可能进行两次战斗震慑测试？,rule,
猎鹰坦克完成射击后，其“火力支援”技能有什么效果？,query,
在移动一个模型时，如果它需要转向，转向值如何计算和扣除？,query,
猩红猎手的“苍穹猎手”技能对飞行单位攻击时有什么特殊加成？,query,
“阶段外规则”中，当一个单位使用“警戒射击”计谋时，它能否触发自身在“己方射击阶段中，该单位进行射击后”触发的技能？,rule,
拥有“额外攻击”技能的武器，其攻击次数能否被其他规则修正？,query,
在《战锤40000》中，当多个修正效果同时应用于一个属性时（例如，既有除法又有加法），应按照什么顺序结算？,query,
御风者单位的“破灭疾风”技能具体效果是什么？,query,
一个单位在什么时候可以搭乘友方运输工具？搭乘后有哪些限制？,query,
当一个在战斗中被摧毁的模型通过规则返回单位时，它是否会回复所有失去的耐伤？,query,
翔空司战的“不屈意志”技能有什么效果？,query,
使用“警戒射击”计谋进行攻击时，命中掷骰有什么特殊限制？,rule,
在第三战斗轮次及之后，战略预备队单位可以在战场上部署在哪些位置？,query,
灵魂先知的“灵魂印记”技能有什么效果？,query,
如果多条规则同时要求一名玩家舍弃一次掷骰的最低/最高掷骰结果，玩家如何结算这些规则？,rule,
烈焰火龙的“灰飞烟灭”技能有什么作用？,query,
当两个或更多规则需要同时进行结算时，如何决定结算顺序？,rule,
暗影先知的“梦境迷雾（灵能）”技能有什么效果？,query,
如果一个规则会在某些情况“之后”被触发（例如“在一个单位选择攻击目标后”），它如何进行结算？,query,
织星者飞艇的“快速上车”技能有什么效果？,query,
